Symbol,OrderID,Side,Price,Qty,ExecID
AAPL,algo20241009165751,1,1276.37,12948,exec20241009165751
GOOG,algo20241009165800,1,42.05,14534,exec20241009165800
INTC,algo20241009165803,2,339.13,1893,exec20241009165803
PYPL,algo20241009165813,1,723.61,392,exec20241009165813
SBUX,algo20241009165823,1,75.71,123,exec20241009165823
TMUS,algo20241009165828,1,90.74,1887,exec20241009165828
WUBA,algo20241009165841,2,51.41,5724,exec20241009165841
AOS,algo20241009165848,2,40.38,1860,exec20241009165848
AIR,algo20241009165852,1,16.31,9135,exec20241009165852
ABB,algo20241009165856,2,17.42,1457,exec20241009165856
ABT,algo20241009165859,1,94.04,1736,exec20241009165859
ABBV,algo20241009165902,1,83.60,8821,exec20241009165902
